UNIT_ID,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,SHAPE_Length,SHAPE_Area
San Diego County,VAIL,2013-01,2013/05/26 00:00:00+00,9.0,10.6,10.543008,2004.87411737472,61470.5716216765
El Dorado County,BALTIC,2013-08,2013/08/05 00:00:00+00,14.0,15.0,14.928823,1626.91119234328,99324.4009316732
El Dorado County,HENRY,2013-12,2013/12/18 00:00:00+00,14.0,20.0,19.825445,2682.61210987732,131538.60251414
El Dorado County,KYBURZ,2013-07,2013/07/11 00:00:00+00,9.0,572.0,570.86554,14415.3094659255,3806521.51190703
El Dorado County,TIGER,2013-08,2013/08/20 00:00:00+00,1.0,16.0,16.324011,1503.71461028059,108040.804672889
Fresno - Kings County,ENNIS,2013-05,2013/05/23 00:00:00+00,10.0,12.0,11.432563,1324.75367339427,72085.1561868477
Fresno - Kings County,GEORGE,2013-06,2013/06/27 00:00:00+00,14.0,118.0,117.75757,4797.21469406779,743017.651808404
Fresno - Kings County,RUTH HILL,2013-08,2013/08/04 00:00:00+00,14.0,102.0,101.28494,3536.59373596166,639403.155216408
Fresno - Kings County,SALES,2013-06,2013/06/23 00:00:00+00,9.0,15.0,14.140085,1321.60962865388,89727.5767224663
Fresno - Kings County,SIERRA,2013-06,2013/06/20 00:00:00+00,2.0,46.0,45.560875,3314.90032987123,289848.765880044
Fresno - Kings County,WOLF,2013-08,2013/08/25 00:00:00+00,10.0,49.0,40.368412,3391.98610804962,255800.232202801
Humboldt County,BROWN,2013-08,2013/08/15 00:00:00+00,2.0,15.0,14.901013,1651.94812387612,103745.433727521
Humboldt County,BUSHNELL,2013-07,2013/07/14 00:00:00+00,2.0,21.0,22.165791,2674.90448687457,153979.91360871
Humboldt County,COOSKIE,2013-07,2013/07/12 00:00:00+00,4.0,32.0,36.49929,2106.59160653766,253638.821208572
Humboldt County,TELL,2013-03,2013/03/10 00:00:00+00,14.0,3.0,10.09579,1048.73137348256,73741.2424799746
Siksiyou County,SALMON COMPLEX,2013-07,2013/08/25 00:00:00+00,7.0,14785.0,14785.876,89990.9712690537,106172732.563082
Kern County, ,2013-06,2013/06/14 00:00:00+00,14.0,,1.1549072,398.758067494355,7022.53407056345
Kern County, ,2013-08,2013/08/11 00:00:00+00,14.0,,3.5550418,645.731727456995,21606.2420422661
Kern County, ,2013-08,2013/08/19 00:00:00+00,14.0,,17.52763,1729.32937747844,107077.88563613
Kern County, ,2013-07,2013/07/09 00:00:00+00,14.0,,2.7713206,812.035349620988,17063.7317313912
Kern County,APPLE,2013-04,2013/04/14 00:00:00+00,14.0,,0.36790735,244.005859856737,2229.98356003151
Kern County,BEAR,2013-06,2013/06/08 00:00:00+00,14.0,,1.8145776,458.71330274158,11021.0797008231
Kern County,BRANDY,2013-05,2013/05/02 00:00:00+00,14.0,,2.9633346,897.365881039036,18157.4756071495
Kern County,CANAL,2013-04,2013/04/06 00:00:00+00,14.0,,1.3864663,559.950560487694,8509.7902545226
